danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,audio_features,1hGy2eLcmC8eKx7qr1tOqx,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,225373,4,spotify:track:1hGy2eLcmC8eKx7qr1tOqx
0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,audio_features,73CMRj62VK8nUS4ezD2wvi,spotify:track:73CMRj62VK8nUS4ezD2wvi,https://api.spotify.com/v1/tracks/73CMRj62VK8nUS4ezD2wvi,https://api.spotify.com/v1/audio-analysis/73CMRj62VK8nUS4ezD2wvi,242974,4,spotify:track:73CMRj62VK8nUS4ezD2wvi
0.616,0.47,5,-6.092,0,0.0253,0.291,0.0,0.111,0.325,80.03,audio_features,3fLT97x5VBTi09GZeZbqwf,spotify:track:3fLT97x5VBTi09GZeZbqwf,https://api.spotify.com/v1/tracks/3fLT97x5VBTi09GZeZbqwf,https://api.spotify.com/v1/audio-analysis/3fLT97x5VBTi09GZeZbqwf,210507,4,spotify:track:3fLT97x5VBTi09GZeZbqwf
0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005,audio_features,45sDIKapDyxPl307QpEAwl,spotify:track:45sDIKapDyxPl307QpEAwl,https://api.spotify.com/v1/tracks/45sDIKapDyxPl307QpEAwl,https://api.spotify.com/v1/audio-analysis/45sDIKapDyxPl307QpEAwl,211253,4,spotify:track:45sDIKapDyxPl307QpEAwl
0.549,0.932,8,-4.11,0,0.343,0.0127,0.0,0.347,0.787,82.439,audio_features,5uHYcK0nbEYgRaFTY5BqnP,spotify:track:5uHYcK0nbEYgRaFTY5BqnP,https://api.spotify.com/v1/tracks/5uHYcK0nbEYgRaFTY5BqnP,https://api.spotify.com/v1/audio-analysis/5uHYcK0nbEYgRaFTY5BqnP,196133,4,spotify:track:5uHYcK0nbEYgRaFTY5BqnP
0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,audio_features,6Nq5lE0CeOAAAqN4qhkbZU,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/tracks/6Nq5lE0CeOAAAqN4qhkbZU,https://api.spotify.com/v1/audio-analysis/6Nq5lE0CeOAAAqN4qhkbZU,239027,4,spotify:track:6Nq5lE0CeOAAAqN4qhkbZU
0.834,0.699,5,-3.222,1,0.178,0.111,0.0,0.131,0.809,94.086,audio_features,0xmjwnQ3FNE6HuWCt2nHdZ,spotify:track:0xmjwnQ3FNE6HuWCt2nHdZ,https://api.spotify.com/v1/tracks/0xmjwnQ3FNE6HuWCt2nHdZ,https://api.spotify.com/v1/audio-analysis/0xmjwnQ3FNE6HuWCt2nHdZ,272533,4,spotify:track:0xmjwnQ3FNE6HuWCt2nHdZ
0.798,0.629,11,-6.857,0,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,audio_features,6wOYnPq1hPihRepcDClPUw,spotify:track:6wOYnPq1hPihRepcDClPUw,https://api.spotify.com/v1/tracks/6wOYnPq1hPihRepcDClPUw,https://api.spotify.com/v1/audio-analysis/6wOYnPq1hPihRepcDClPUw,284373,4,spotify:track:6wOYnPq1hPihRepcDClPUw
0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,audio_features,3w3y8KPTfNeOKPiqUTakBh,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/tracks/3w3y8KPTfNeOKPiqUTakBh,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh,233478,4,spotify:track:3w3y8KPTfNeOKPiqUTakBh
0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,audio_features,161DnLWsx1i3u1JT05lzqU,spotify:track:161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/tracks/161DnLWsx1i3u1JT05lzqU,https://api.spotify.com/v1/audio-analysis/161DnLWsx1i3u1JT05lzqU,217867,4,spotify:track:161DnLWsx1i3u1JT05lzqU
