danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.585,0.272,7,-7.948,1,0.0284,0.841,0.494,0.0821,0.134,76.263,audio_features,01ufrDfHQt4xlSpqdgbxUz,spotify:track:01ufrDfHQt4xlSpqdgbxUz,https://api.spotify.com/v1/tracks/01ufrDfHQt4xlSpqdgbxUz,https://api.spotify.com/v1/audio-analysis/01ufrDfHQt4xlSpqdgbxUz,234490,4,spotify:track:01ufrDfHQt4xlSpqdgbxUz
0.469,0.51,9,-12.03,0,0.0303,0.611,2.11e-05,0.143,0.676,127.308,audio_features,4rKpi6H6IFtuBVAdNN3fUe,spotify:track:4rKpi6H6IFtuBVAdNN3fUe,https://api.spotify.com/v1/tracks/4rKpi6H6IFtuBVAdNN3fUe,https://api.spotify.com/v1/audio-analysis/4rKpi6H6IFtuBVAdNN3fUe,157107,4,spotify:track:4rKpi6H6IFtuBVAdNN3fUe
0.825,0.334,9,-11.444,0,0.0624,0.773,6.97e-05,0.0736,0.484,95.043,audio_features,2ndM3m6c98W1jt3X89LXNH,spotify:track:2ndM3m6c98W1jt3X89LXNH,https://api.spotify.com/v1/tracks/2ndM3m6c98W1jt3X89LXNH,https://api.spotify.com/v1/audio-analysis/2ndM3m6c98W1jt3X89LXNH,190680,4,spotify:track:2ndM3m6c98W1jt3X89LXNH
0.272,0.3,9,-14.274,0,0.0341,0.884,0.887,0.118,0.182,86.637,audio_features,0nqZGOz0qRJoSvTXjsAjWd,spotify:track:0nqZGOz0qRJoSvTXjsAjWd,https://api.spotify.com/v1/tracks/0nqZGOz0qRJoSvTXjsAjWd,https://api.spotify.com/v1/audio-analysis/0nqZGOz0qRJoSvTXjsAjWd,299480,5,spotify:track:0nqZGOz0qRJoSvTXjsAjWd
0.494,0.693,1,-7.163,1,0.0415,0.0128,0.000628,0.118,0.593,138.872,audio_features,0MEwwyJBkGgeDLfDNCJtc1,spotify:track:0MEwwyJBkGgeDLfDNCJtc1,https://api.spotify.com/v1/tracks/0MEwwyJBkGgeDLfDNCJtc1,https://api.spotify.com/v1/audio-analysis/0MEwwyJBkGgeDLfDNCJtc1,225632,4,spotify:track:0MEwwyJBkGgeDLfDNCJtc1
0.42,0.387,5,-12.065,1,0.0446,0.561,0.002,0.0828,0.14,76.663,audio_features,4ydbywMhPgg1EYoZdYRMQo,spotify:track:4ydbywMhPgg1EYoZdYRMQo,https://api.spotify.com/v1/tracks/4ydbywMhPgg1EYoZdYRMQo,https://api.spotify.com/v1/audio-analysis/4ydbywMhPgg1EYoZdYRMQo,219406,4,spotify:track:4ydbywMhPgg1EYoZdYRMQo
0.403,0.372,8,-13.902,0,0.0341,0.532,0.547,0.154,0.152,131.826,audio_features,7e1TMt3qtL1xzY3hmMlLHx,spotify:track:7e1TMt3qtL1xzY3hmMlLHx,https://api.spotify.com/v1/tracks/7e1TMt3qtL1xzY3hmMlLHx,https://api.spotify.com/v1/audio-analysis/7e1TMt3qtL1xzY3hmMlLHx,259198,3,spotify:track:7e1TMt3qtL1xzY3hmMlLHx
0.382,0.738,6,-7.73,1,0.0334,0.507,0.965,0.136,0.462,155.858,audio_features,4WUAyxkq3x4l5P7QN0vmHr,spotify:track:4WUAyxkq3x4l5P7QN0vmHr,https://api.spotify.com/v1/tracks/4WUAyxkq3x4l5P7QN0vmHr,https://api.spotify.com/v1/audio-analysis/4WUAyxkq3x4l5P7QN0vmHr,191500,4,spotify:track:4WUAyxkq3x4l5P7QN0vmHr
0.348,0.54,0,-5.911,1,0.0333,0.0517,0.845,0.158,0.0399,96.091,audio_features,6Ed9pxuKknK4ZqhKoeOgqh,spotify:track:6Ed9pxuKknK4ZqhKoeOgqh,https://api.spotify.com/v1/tracks/6Ed9pxuKknK4ZqhKoeOgqh,https://api.spotify.com/v1/audio-analysis/6Ed9pxuKknK4ZqhKoeOgqh,323048,4,spotify:track:6Ed9pxuKknK4ZqhKoeOgqh
0.243,0.248,9,-19.572,0,0.0489,0.885,0.924,0.112,0.0386,119.362,audio_features,3G5vyPGU9eXlJBtYwBrn82,spotify:track:3G5vyPGU9eXlJBtYwBrn82,https://api.spotify.com/v1/tracks/3G5vyPGU9eXlJBtYwBrn82,https://api.spotify.com/v1/audio-analysis/3G5vyPGU9eXlJBtYwBrn82,304227,4,spotify:track:3G5vyPGU9eXlJBtYwBrn82
0.687,0.658,6,-12.004,0,0.0446,0.388,0.682,0.0693,0.262,127.988,audio_features,0MwKQKYR3rwTdIZ6J1Msl2,spotify:track:0MwKQKYR3rwTdIZ6J1Msl2,https://api.spotify.com/v1/tracks/0MwKQKYR3rwTdIZ6J1Msl2,https://api.spotify.com/v1/audio-analysis/0MwKQKYR3rwTdIZ6J1Msl2,214528,4,spotify:track:0MwKQKYR3rwTdIZ6J1Msl2
0.364,0.278,5,-18.06,1,0.0435,0.567,0.612,0.123,0.22,116.777,audio_features,16MHHL09ncdGJMN2CPA7JK,spotify:track:16MHHL09ncdGJMN2CPA7JK,https://api.spotify.com/v1/tracks/16MHHL09ncdGJMN2CPA7JK,https://api.spotify.com/v1/audio-analysis/16MHHL09ncdGJMN2CPA7JK,225707,4,spotify:track:16MHHL09ncdGJMN2CPA7JK
0.584,0.523,11,-14.425,0,0.0312,0.119,0.785,0.118,0.685,104.15,audio_features,1Srf4UyTNf8R1fPJLOcgTs,spotify:track:1Srf4UyTNf8R1fPJLOcgTs,https://api.spotify.com/v1/tracks/1Srf4UyTNf8R1fPJLOcgTs,https://api.spotify.com/v1/audio-analysis/1Srf4UyTNf8R1fPJLOcgTs,156000,4,spotify:track:1Srf4UyTNf8R1fPJLOcgTs
0.639,0.617,1,-12.174,0,0.0395,0.698,0.854,0.206,0.149,126.006,audio_features,07KyRPrK4fGBiJkGDWAwLJ,spotify:track:07KyRPrK4fGBiJkGDWAwLJ,https://api.spotify.com/v1/tracks/07KyRPrK4fGBiJkGDWAwLJ,https://api.spotify.com/v1/audio-analysis/07KyRPrK4fGBiJkGDWAwLJ,317179,4,spotify:track:07KyRPrK4fGBiJkGDWAwLJ
