danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.222,0.0653,3,-19.459,1,0.0447,0.953,0.000611,0.125,0.211,76.828,audio_features,4FylEaO7ZcbRNLhRairniu,spotify:track:4FylEaO7ZcbRNLhRairniu,https://api.spotify.com/v1/tracks/4FylEaO7ZcbRNLhRairniu,https://api.spotify.com/v1/audio-analysis/4FylEaO7ZcbRNLhRairniu,221827,3,spotify:track:4FylEaO7ZcbRNLhRairniu
0.284,0.121,7,-17.829,1,0.0339,0.967,0.00361,0.0869,0.112,78.878,audio_features,2dG3QPq9rVi7FgzIecJ6JK,spotify:track:2dG3QPq9rVi7FgzIecJ6JK,https://api.spotify.com/v1/tracks/2dG3QPq9rVi7FgzIecJ6JK,https://api.spotify.com/v1/audio-analysis/2dG3QPq9rVi7FgzIecJ6JK,184867,3,spotify:track:2dG3QPq9rVi7FgzIecJ6JK
0.589,0.369,5,-8.678,0,0.0321,0.855,0.0,0.352,0.529,132.954,audio_features,0shGCs5AkhwJIgUb0SSz2B,spotify:track:0shGCs5AkhwJIgUb0SSz2B,https://api.spotify.com/v1/tracks/0shGCs5AkhwJIgUb0SSz2B,https://api.spotify.com/v1/audio-analysis/0shGCs5AkhwJIgUb0SSz2B,201200,4,spotify:track:0shGCs5AkhwJIgUb0SSz2B
0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,audio_features,5K09WxKdlkroDyEVyOSySy,spotify:track:5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/tracks/5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/audio-analysis/5K09WxKdlkroDyEVyOSySy,165333,3,spotify:track:5K09WxKdlkroDyEVyOSySy
0.269,0.239,0,-10.522,0,0.03,0.842,0.00194,0.0938,0.162,176.916,audio_features,4IbOPxstIn2KbdlWf5xRZ0,spotify:track:4IbOPxstIn2KbdlWf5xRZ0,https://api.spotify.com/v1/tracks/4IbOPxstIn2KbdlWf5xRZ0,https://api.spotify.com/v1/audio-analysis/4IbOPxstIn2KbdlWf5xRZ0,188227,3,spotify:track:4IbOPxstIn2KbdlWf5xRZ0
0.536,0.31,0,-8.041,1,0.0492,0.568,0.000145,0.162,0.472,127.597,audio_features,3ts3nBCGF7K9JvSjWVQfX8,spotify:track:3ts3nBCGF7K9JvSjWVQfX8,https://api.spotify.com/v1/tracks/3ts3nBCGF7K9JvSjWVQfX8,https://api.spotify.com/v1/audio-analysis/3ts3nBCGF7K9JvSjWVQfX8,187853,4,spotify:track:3ts3nBCGF7K9JvSjWVQfX8
0.629,0.248,10,-16.026,0,0.0307,0.627,0.00011,0.0884,0.372,136.896,audio_features,3PWlxtTxNNZc4zvHwi26ih,spotify:track:3PWlxtTxNNZc4zvHwi26ih,https://api.spotify.com/v1/tracks/3PWlxtTxNNZc4zvHwi26ih,https://api.spotify.com/v1/audio-analysis/3PWlxtTxNNZc4zvHwi26ih,337133,4,spotify:track:3PWlxtTxNNZc4zvHwi26ih
0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,audio_features,1LeWIs2hP2r5yOQnVuYoI5,spotify:track:1LeWIs2hP2r5yOQnVuYoI5,https://api.spotify.com/v1/tracks/1LeWIs2hP2r5yOQnVuYoI5,https://api.spotify.com/v1/audio-analysis/1LeWIs2hP2r5yOQnVuYoI5,151667,4,spotify:track:1LeWIs2hP2r5yOQnVuYoI5
0.8,0.699,1,-7.181,1,0.0391,0.0586,0.000161,0.138,0.842,114.526,audio_features,36eWbpGbM3DxpErvZImHgD,spotify:track:36eWbpGbM3DxpErvZImHgD,https://api.spotify.com/v1/tracks/36eWbpGbM3DxpErvZImHgD,https://api.spotify.com/v1/audio-analysis/36eWbpGbM3DxpErvZImHgD,203067,4,spotify:track:36eWbpGbM3DxpErvZImHgD
0.484,0.312,2,-13.522,1,0.0535,0.724,1.65e-06,0.0601,0.598,205.981,audio_features,4Y4Gd3ty8uut6Qw43c7yJc,spotify:track:4Y4Gd3ty8uut6Qw43c7yJc,https://api.spotify.com/v1/tracks/4Y4Gd3ty8uut6Qw43c7yJc,https://api.spotify.com/v1/audio-analysis/4Y4Gd3ty8uut6Qw43c7yJc,166827,4,spotify:track:4Y4Gd3ty8uut6Qw43c7yJc
0.523,0.351,7,-8.54,1,0.0346,0.321,0.0,0.181,0.286,130.881,audio_features,4ioNP12wZS8rcMZRf1vwko,spotify:track:4ioNP12wZS8rcMZRf1vwko,https://api.spotify.com/v1/tracks/4ioNP12wZS8rcMZRf1vwko,https://api.spotify.com/v1/audio-analysis/4ioNP12wZS8rcMZRf1vwko,247733,3,spotify:track:4ioNP12wZS8rcMZRf1vwko
