danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.744,0.845,4,-7.422,0,0.253,0.759,0.232,0.1,0.749,75.221,audio_features,0SIAFU49FFHwR3QnT5Jx0k,spotify:track:0SIAFU49FFHwR3QnT5Jx0k,https://api.spotify.com/v1/tracks/0SIAFU49FFHwR3QnT5Jx0k,https://api.spotify.com/v1/audio-analysis/0SIAFU49FFHwR3QnT5Jx0k,160000,4,spotify:track:0SIAFU49FFHwR3QnT5Jx0k
0.865,0.312,2,-16.994,1,0.435,0.212,1.2e-06,0.0651,0.589,93.006,audio_features,1x1Ds0QESfE3TrevTzHw4B,spotify:track:1x1Ds0QESfE3TrevTzHw4B,https://api.spotify.com/v1/tracks/1x1Ds0QESfE3TrevTzHw4B,https://api.spotify.com/v1/audio-analysis/1x1Ds0QESfE3TrevTzHw4B,155037,4,spotify:track:1x1Ds0QESfE3TrevTzHw4B
0.687,0.631,9,-5.612,1,0.129,0.063,0.0,0.108,0.853,186.071,audio_features,6XkuklKiHYVTlVvWlTgQYP,spotify:track:6XkuklKiHYVTlVvWlTgQYP,https://api.spotify.com/v1/tracks/6XkuklKiHYVTlVvWlTgQYP,https://api.spotify.com/v1/audio-analysis/6XkuklKiHYVTlVvWlTgQYP,192253,4,spotify:track:6XkuklKiHYVTlVvWlTgQYP
0.655,0.913,11,-5.877,1,0.0854,0.408,5.58e-06,0.69,0.64,96.134,audio_features,46o1wwml89DC8ViehyeXcK,spotify:track:46o1wwml89DC8ViehyeXcK,https://api.spotify.com/v1/tracks/46o1wwml89DC8ViehyeXcK,https://api.spotify.com/v1/audio-analysis/46o1wwml89DC8ViehyeXcK,234667,4,spotify:track:46o1wwml89DC8ViehyeXcK
0.729,0.795,7,-4.579,1,0.144,0.354,0.0,0.536,0.856,146.747,audio_features,5zd9TgduWbfFXwgnm3K3Rz,spotify:track:5zd9TgduWbfFXwgnm3K3Rz,https://api.spotify.com/v1/tracks/5zd9TgduWbfFXwgnm3K3Rz,https://api.spotify.com/v1/audio-analysis/5zd9TgduWbfFXwgnm3K3Rz,176880,4,spotify:track:5zd9TgduWbfFXwgnm3K3Rz
0.498,0.292,5,-10.656,1,0.031,0.511,1.9e-05,0.256,0.348,68.963,audio_features,1jQfgl9WRle7D8a3GXLwaD,spotify:track:1jQfgl9WRle7D8a3GXLwaD,https://api.spotify.com/v1/tracks/1jQfgl9WRle7D8a3GXLwaD,https://api.spotify.com/v1/audio-analysis/1jQfgl9WRle7D8a3GXLwaD,280587,4,spotify:track:1jQfgl9WRle7D8a3GXLwaD
0.9,0.316,9,-8.797,1,0.332,0.684,0.0771,0.0853,0.844,129.914,audio_features,39oeKRgsLeynDIbWuXyA47,spotify:track:39oeKRgsLeynDIbWuXyA47,https://api.spotify.com/v1/tracks/39oeKRgsLeynDIbWuXyA47,https://api.spotify.com/v1/audio-analysis/39oeKRgsLeynDIbWuXyA47,107077,4,spotify:track:39oeKRgsLeynDIbWuXyA47
0.742,0.678,5,-4.605,0,0.192,0.0698,0.0,0.151,0.927,115.05,audio_features,6JqYhSdTE4WbQrMXxPH5cD,spotify:track:6JqYhSdTE4WbQrMXxPH5cD,https://api.spotify.com/v1/tracks/6JqYhSdTE4WbQrMXxPH5cD,https://api.spotify.com/v1/audio-analysis/6JqYhSdTE4WbQrMXxPH5cD,135521,4,spotify:track:6JqYhSdTE4WbQrMXxPH5cD
0.809,0.483,5,-6.886,1,0.0487,0.8,0.0,0.221,0.715,96.974,audio_features,4sbtM9ORGwmxGkXfctXbJq,spotify:track:4sbtM9ORGwmxGkXfctXbJq,https://api.spotify.com/v1/tracks/4sbtM9ORGwmxGkXfctXbJq,https://api.spotify.com/v1/audio-analysis/4sbtM9ORGwmxGkXfctXbJq,168418,4,spotify:track:4sbtM9ORGwmxGkXfctXbJq
0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,audio_features,7zFXmv6vqI4qOt4yGf3jYZ,spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/tracks/7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/audio-analysis/7zFXmv6vqI4qOt4yGf3jYZ,278180,4,spotify:track:7zFXmv6vqI4qOt4yGf3jYZ
