danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,audio_features,43zdsphuZLzwA9k4DJhU0I,spotify:track:43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I,196077,4,spotify:track:43zdsphuZLzwA9k4DJhU0I
0.292,0.296,4,-10.109,0,0.0359,0.934,0.0,0.095,0.112,115.046,audio_features,3az62jBzapcmY6WHtgv955,spotify:track:3az62jBzapcmY6WHtgv955,https://api.spotify.com/v1/tracks/3az62jBzapcmY6WHtgv955,https://api.spotify.com/v1/audio-analysis/3az62jBzapcmY6WHtgv955,200186,4,spotify:track:3az62jBzapcmY6WHtgv955
0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,audio_features,3LnJM1B5Mjgx5LfT9plXUU,spotify:track:3LnJM1B5Mjgx5LfT9plXUU,https://api.spotify.com/v1/tracks/3LnJM1B5Mjgx5LfT9plXUU,https://api.spotify.com/v1/audio-analysis/3LnJM1B5Mjgx5LfT9plXUU,197973,4,spotify:track:3LnJM1B5Mjgx5LfT9plXUU
0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.014,audio_features,0gPQTLaqHDgdupKEok7J2x,spotify:track:0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/tracks/0gPQTLaqHDgdupKEok7J2x,https://api.spotify.com/v1/audio-analysis/0gPQTLaqHDgdupKEok7J2x,235133,4,spotify:track:0gPQTLaqHDgdupKEok7J2x
0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,audio_features,7zFXmv6vqI4qOt4yGf3jYZ,spotify:track:7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/tracks/7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/audio-analysis/7zFXmv6vqI4qOt4yGf3jYZ,278180,4,spotify:track:7zFXmv6vqI4qOt4yGf3jYZ
0.339,0.381,6,-13.054,0,0.0412,0.664,8.39e-05,0.11,0.282,86.142,audio_features,390VumD1uSnfGvyB0NmjKe,spotify:track:390VumD1uSnfGvyB0NmjKe,https://api.spotify.com/v1/tracks/390VumD1uSnfGvyB0NmjKe,https://api.spotify.com/v1/audio-analysis/390VumD1uSnfGvyB0NmjKe,191240,4,spotify:track:390VumD1uSnfGvyB0NmjKe
0.559,0.352,1,-6.807,1,0.0362,0.847,1.5e-06,0.103,0.548,134.253,audio_features,4ktAIutrCjL3oD9rR1aEWU,spotify:track:4ktAIutrCjL3oD9rR1aEWU,https://api.spotify.com/v1/tracks/4ktAIutrCjL3oD9rR1aEWU,https://api.spotify.com/v1/audio-analysis/4ktAIutrCjL3oD9rR1aEWU,176919,4,spotify:track:4ktAIutrCjL3oD9rR1aEWU
0.624,0.453,6,-9.184,0,0.0369,0.453,0.000995,0.13,0.272,84.815,audio_features,3c5gLGgwRrE7sQYSNHCXEj,spotify:track:3c5gLGgwRrE7sQYSNHCXEj,https://api.spotify.com/v1/tracks/3c5gLGgwRrE7sQYSNHCXEj,https://api.spotify.com/v1/audio-analysis/3c5gLGgwRrE7sQYSNHCXEj,242036,4,spotify:track:3c5gLGgwRrE7sQYSNHCXEj
0.884,0.333,9,-9.753,0,0.0617,0.293,0.0205,0.103,0.587,118.065,audio_features,4cJOLN346rtOty3UPACsao,spotify:track:4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/tracks/4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/audio-analysis/4cJOLN346rtOty3UPACsao,209450,4,spotify:track:4cJOLN346rtOty3UPACsao
0.623,0.27,4,-15.651,1,0.13,0.814,0.0135,0.114,0.194,172.11,audio_features,44M1Gxr718aI45MH3m90J9,spotify:track:44M1Gxr718aI45MH3m90J9,https://api.spotify.com/v1/tracks/44M1Gxr718aI45MH3m90J9,https://api.spotify.com/v1/audio-analysis/44M1Gxr718aI45MH3m90J9,227253,4,spotify:track:44M1Gxr718aI45MH3m90J9
