danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.659,0.854,2,-4.499,1,0.0511,0.138,0.00857,0.0434,0.849,119.957,audio_features,3uYCbGo0mc5p7volIb5k2N,spotify:track:3uYCbGo0mc5p7volIb5k2N,https://api.spotify.com/v1/tracks/3uYCbGo0mc5p7volIb5k2N,https://api.spotify.com/v1/audio-analysis/3uYCbGo0mc5p7volIb5k2N,253787,4,spotify:track:3uYCbGo0mc5p7volIb5k2N
0.634,0.665,4,-4.969,1,0.0318,0.342,8.87e-05,0.0709,0.787,96.698,audio_features,1qUo7d5lAOclNVbTUY0A2R,spotify:track:1qUo7d5lAOclNVbTUY0A2R,https://api.spotify.com/v1/tracks/1qUo7d5lAOclNVbTUY0A2R,https://api.spotify.com/v1/audio-analysis/1qUo7d5lAOclNVbTUY0A2R,295667,4,spotify:track:1qUo7d5lAOclNVbTUY0A2R
0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,audio_features,6HJxxqHWMdidwTVZmZWeHU,spotify:track:6HJxxqHWMdidwTVZmZWeHU,https://api.spotify.com/v1/tracks/6HJxxqHWMdidwTVZmZWeHU,https://api.spotify.com/v1/audio-analysis/6HJxxqHWMdidwTVZmZWeHU,167987,4,spotify:track:6HJxxqHWMdidwTVZmZWeHU
0.729,0.735,1,-5.455,1,0.0919,0.0178,0.000193,0.089,0.544,121.986,audio_features,1DunhgeZSEgWiIYbHqXl0c,spotify:track:1DunhgeZSEgWiIYbHqXl0c,https://api.spotify.com/v1/tracks/1DunhgeZSEgWiIYbHqXl0c,https://api.spotify.com/v1/audio-analysis/1DunhgeZSEgWiIYbHqXl0c,255867,4,spotify:track:1DunhgeZSEgWiIYbHqXl0c
0.87,0.699,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.967,audio_features,6A6qBFJHid4WutQu6HHEZt,spotify:track:6A6qBFJHid4WutQu6HHEZt,https://api.spotify.com/v1/tracks/6A6qBFJHid4WutQu6HHEZt,https://api.spotify.com/v1/audio-analysis/6A6qBFJHid4WutQu6HHEZt,198440,4,spotify:track:6A6qBFJHid4WutQu6HHEZt
0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,audio_features,7Lk83uozmGWre1q8eyOOUP,spotify:track:7Lk83uozmGWre1q8eyOOUP,https://api.spotify.com/v1/tracks/7Lk83uozmGWre1q8eyOOUP,https://api.spotify.com/v1/audio-analysis/7Lk83uozmGWre1q8eyOOUP,438493,4,spotify:track:7Lk83uozmGWre1q8eyOOUP
0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,audio_features,3jjujdWJ72nww5eGnfs2E7,spotify:track:3jjujdWJ72nww5eGnfs2E7,https://api.spotify.com/v1/tracks/3jjujdWJ72nww5eGnfs2E7,https://api.spotify.com/v1/audio-analysis/3jjujdWJ72nww5eGnfs2E7,207133,4,spotify:track:3jjujdWJ72nww5eGnfs2E7
0.607,0.67,0,-5.517,0,0.244,0.491,0.0,0.0747,0.908,80.897,audio_features,6LfJVV4oNiz7KeDrZUf8ty,spotify:track:6LfJVV4oNiz7KeDrZUf8ty,https://api.spotify.com/v1/tracks/6LfJVV4oNiz7KeDrZUf8ty,https://api.spotify.com/v1/audio-analysis/6LfJVV4oNiz7KeDrZUf8ty,192893,4,spotify:track:6LfJVV4oNiz7KeDrZUf8ty
0.649,0.592,10,-6.924,1,0.0497,0.0934,0.000529,0.182,0.466,148.01,audio_features,0uQSHrFDVtbQyxNFCwm1EC,spotify:track:0uQSHrFDVtbQyxNFCwm1EC,https://api.spotify.com/v1/tracks/0uQSHrFDVtbQyxNFCwm1EC,https://api.spotify.com/v1/audio-analysis/0uQSHrFDVtbQyxNFCwm1EC,265693,4,spotify:track:0uQSHrFDVtbQyxNFCwm1EC
0.483,0.628,0,-8.642,0,0.256,0.165,0.0,0.0903,0.218,94.056,audio_features,1nPPh0CiKqVvYl4Mx1aZ21,spotify:track:1nPPh0CiKqVvYl4Mx1aZ21,https://api.spotify.com/v1/tracks/1nPPh0CiKqVvYl4Mx1aZ21,https://api.spotify.com/v1/audio-analysis/1nPPh0CiKqVvYl4Mx1aZ21,219440,4,spotify:track:1nPPh0CiKqVvYl4Mx1aZ21
