danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.61,0.382,5,-9.591,0,0.196,0.161,0.000101,0.126,0.59,74.084,audio_features,4Uxb6ZyCz6YnB0Rr85IsS8,spotify:track:4Uxb6ZyCz6YnB0Rr85IsS8,https://api.spotify.com/v1/tracks/4Uxb6ZyCz6YnB0Rr85IsS8,https://api.spotify.com/v1/audio-analysis/4Uxb6ZyCz6YnB0Rr85IsS8,168213,4,spotify:track:4Uxb6ZyCz6YnB0Rr85IsS8
0.554,0.606,7,-5.74,1,0.0256,0.152,7.67e-06,0.282,0.599,93.991,audio_features,5wIYMYa6syn9xxL3i0mVx9,spotify:track:5wIYMYa6syn9xxL3i0mVx9,https://api.spotify.com/v1/tracks/5wIYMYa6syn9xxL3i0mVx9,https://api.spotify.com/v1/audio-analysis/5wIYMYa6syn9xxL3i0mVx9,220768,4,spotify:track:5wIYMYa6syn9xxL3i0mVx9
0.511,0.716,1,-4.726,1,0.256,0.147,0.00369,0.414,0.35,137.682,audio_features,5xMMEzZ5uhEnUMPtu56Swy,spotify:track:5xMMEzZ5uhEnUMPtu56Swy,https://api.spotify.com/v1/tracks/5xMMEzZ5uhEnUMPtu56Swy,https://api.spotify.com/v1/audio-analysis/5xMMEzZ5uhEnUMPtu56Swy,138055,4,spotify:track:5xMMEzZ5uhEnUMPtu56Swy
0.535,0.453,10,-5.531,0,0.364,0.674,0.0,0.146,0.603,101.726,audio_features,2StfQunqGzhgdBpwIyaCg6,spotify:track:2StfQunqGzhgdBpwIyaCg6,https://api.spotify.com/v1/tracks/2StfQunqGzhgdBpwIyaCg6,https://api.spotify.com/v1/audio-analysis/2StfQunqGzhgdBpwIyaCg6,120844,3,spotify:track:2StfQunqGzhgdBpwIyaCg6
0.377,0.361,3,-6.661,1,0.0372,0.613,0.00219,0.123,0.131,97.719,audio_features,0qLZFHe02v0WkmSOZmOQ6p,spotify:track:0qLZFHe02v0WkmSOZmOQ6p,https://api.spotify.com/v1/tracks/0qLZFHe02v0WkmSOZmOQ6p,https://api.spotify.com/v1/audio-analysis/0qLZFHe02v0WkmSOZmOQ6p,367359,1,spotify:track:0qLZFHe02v0WkmSOZmOQ6p
0.641,0.314,2,-11.56,1,0.0375,0.425,0.41,0.116,0.123,95.969,audio_features,026pfPaB52WIGawu0PzN5j,spotify:track:026pfPaB52WIGawu0PzN5j,https://api.spotify.com/v1/tracks/026pfPaB52WIGawu0PzN5j,https://api.spotify.com/v1/audio-analysis/026pfPaB52WIGawu0PzN5j,218467,4,spotify:track:026pfPaB52WIGawu0PzN5j
0.651,0.506,1,-10.879,1,0.0877,0.00606,0.0,0.382,0.49,156.327,audio_features,5OLgNcIjERJEkba2KwTRNX,spotify:track:5OLgNcIjERJEkba2KwTRNX,https://api.spotify.com/v1/tracks/5OLgNcIjERJEkba2KwTRNX,https://api.spotify.com/v1/audio-analysis/5OLgNcIjERJEkba2KwTRNX,142333,4,spotify:track:5OLgNcIjERJEkba2KwTRNX
0.727,0.64,5,-8.207,0,0.0394,0.474,0.909,0.3,0.794,128.034,audio_features,7fr2vAeaVUNSd8YUCbX2Ub,spotify:track:7fr2vAeaVUNSd8YUCbX2Ub,https://api.spotify.com/v1/tracks/7fr2vAeaVUNSd8YUCbX2Ub,https://api.spotify.com/v1/audio-analysis/7fr2vAeaVUNSd8YUCbX2Ub,340834,4,spotify:track:7fr2vAeaVUNSd8YUCbX2Ub
0.39,0.906,6,-5.426,0,0.147,0.0106,0.214,0.35,0.493,119.92,audio_features,7yrjPMQ4uRjV7cRYQczK2J,spotify:track:7yrjPMQ4uRjV7cRYQczK2J,https://api.spotify.com/v1/tracks/7yrjPMQ4uRjV7cRYQczK2J,https://api.spotify.com/v1/audio-analysis/7yrjPMQ4uRjV7cRYQczK2J,199413,4,spotify:track:7yrjPMQ4uRjV7cRYQczK2J
0.291,0.112,8,-21.249,0,0.0345,0.902,0.19,0.102,0.107,82.979,audio_features,4kBkUmgKRoleo3NIMsIcOT,spotify:track:4kBkUmgKRoleo3NIMsIcOT,https://api.spotify.com/v1/tracks/4kBkUmgKRoleo3NIMsIcOT,https://api.spotify.com/v1/audio-analysis/4kBkUmgKRoleo3NIMsIcOT,340567,4,spotify:track:4kBkUmgKRoleo3NIMsIcOT
0.159,0.034,11,-31.293,0,0.0407,0.928,0.907,0.135,0.0414,133.071,audio_features,0sLyAfyhSi58HAuufVHshV,spotify:track:0sLyAfyhSi58HAuufVHshV,https://api.spotify.com/v1/tracks/0sLyAfyhSi58HAuufVHshV,https://api.spotify.com/v1/audio-analysis/0sLyAfyhSi58HAuufVHshV,236773,4,spotify:track:0sLyAfyhSi58HAuufVHshV
0.603,0.635,7,-5.968,1,0.0313,0.00143,0.658,0.752,0.0715,132.018,audio_features,7Gt0ncu9dryp8glWAwplcS,spotify:track:7Gt0ncu9dryp8glWAwplcS,https://api.spotify.com/v1/tracks/7Gt0ncu9dryp8glWAwplcS,https://api.spotify.com/v1/audio-analysis/7Gt0ncu9dryp8glWAwplcS,268640,4,spotify:track:7Gt0ncu9dryp8glWAwplcS
0.687,0.641,1,-9.262,1,0.0691,0.0359,9.1e-06,0.635,0.257,93.999,audio_features,4Nh3u6YfOwc2leaw5FDgm5,spotify:track:4Nh3u6YfOwc2leaw5FDgm5,https://api.spotify.com/v1/tracks/4Nh3u6YfOwc2leaw5FDgm5,https://api.spotify.com/v1/audio-analysis/4Nh3u6YfOwc2leaw5FDgm5,183802,4,spotify:track:4Nh3u6YfOwc2leaw5FDgm5
0.264,0.84,8,-3.423,1,0.0587,0.107,0.0,0.261,0.364,83.463,audio_features,28md0dqOe0Ch9SQYLTKGaA,spotify:track:28md0dqOe0Ch9SQYLTKGaA,https://api.spotify.com/v1/tracks/28md0dqOe0Ch9SQYLTKGaA,https://api.spotify.com/v1/audio-analysis/28md0dqOe0Ch9SQYLTKGaA,167516,4,spotify:track:28md0dqOe0Ch9SQYLTKGaA
0.567,0.235,11,-13.57,1,0.0322,0.454,6.67e-06,0.0938,0.265,81.678,audio_features,2CxLla7i6lur02aOVMHPMK,spotify:track:2CxLla7i6lur02aOVMHPMK,https://api.spotify.com/v1/tracks/2CxLla7i6lur02aOVMHPMK,https://api.spotify.com/v1/audio-analysis/2CxLla7i6lur02aOVMHPMK,264908,4,spotify:track:2CxLla7i6lur02aOVMHPMK
