danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.72,0.677,11,-9.203,0,0.0245,0.0749,9.65e-05,0.397,0.821,109.405,audio_features,4I77FZbsed188zTLXXXWfQ,spotify:track:4I77FZbsed188zTLXXXWfQ,https://api.spotify.com/v1/tracks/4I77FZbsed188zTLXXXWfQ,https://api.spotify.com/v1/audio-analysis/4I77FZbsed188zTLXXXWfQ,219646,4,spotify:track:4I77FZbsed188zTLXXXWfQ
0.471,0.881,11,-4.483,0,0.0467,0.0588,0.000378,0.26,0.544,169.898,audio_features,5TuTHrKzN6NweeQaKkBNb7,spotify:track:5TuTHrKzN6NweeQaKkBNb7,https://api.spotify.com/v1/tracks/5TuTHrKzN6NweeQaKkBNb7,https://api.spotify.com/v1/audio-analysis/5TuTHrKzN6NweeQaKkBNb7,158573,4,spotify:track:5TuTHrKzN6NweeQaKkBNb7
0.692,0.612,8,-7.222,1,0.0456,0.0416,0.775,0.0835,0.446,124.567,audio_features,3hU4FbUWQee85XY2cRFbRR,spotify:track:3hU4FbUWQee85XY2cRFbRR,https://api.spotify.com/v1/tracks/3hU4FbUWQee85XY2cRFbRR,https://api.spotify.com/v1/audio-analysis/3hU4FbUWQee85XY2cRFbRR,180400,4,spotify:track:3hU4FbUWQee85XY2cRFbRR
0.712,0.914,1,-5.675,1,0.101,0.65,0.0,0.0579,0.697,100.406,audio_features,53mChDyESfwn9Dz8poHRf6,spotify:track:53mChDyESfwn9Dz8poHRf6,https://api.spotify.com/v1/tracks/53mChDyESfwn9Dz8poHRf6,https://api.spotify.com/v1/audio-analysis/53mChDyESfwn9Dz8poHRf6,205651,4,spotify:track:53mChDyESfwn9Dz8poHRf6
0.794,0.719,0,-6.268,1,0.0496,0.0695,0.0153,0.0873,0.862,106.985,audio_features,1EnKZWtfSyLezfjpHcRvlc,spotify:track:1EnKZWtfSyLezfjpHcRvlc,https://api.spotify.com/v1/tracks/1EnKZWtfSyLezfjpHcRvlc,https://api.spotify.com/v1/audio-analysis/1EnKZWtfSyLezfjpHcRvlc,162056,4,spotify:track:1EnKZWtfSyLezfjpHcRvlc
0.643,0.671,9,-5.439,0,0.0246,0.00578,0.000641,0.107,0.412,89.9,audio_features,1TQuqiFxqnVeez9OMq3emB,spotify:track:1TQuqiFxqnVeez9OMq3emB,https://api.spotify.com/v1/tracks/1TQuqiFxqnVeez9OMq3emB,https://api.spotify.com/v1/audio-analysis/1TQuqiFxqnVeez9OMq3emB,145667,4,spotify:track:1TQuqiFxqnVeez9OMq3emB
0.669,0.809,7,-7.146,1,0.147,0.00137,0.0,0.38,0.572,97.885,audio_features,3LklW07tvdx2AHsgfi1Mng,spotify:track:3LklW07tvdx2AHsgfi1Mng,https://api.spotify.com/v1/tracks/3LklW07tvdx2AHsgfi1Mng,https://api.spotify.com/v1/audio-analysis/3LklW07tvdx2AHsgfi1Mng,249293,4,spotify:track:3LklW07tvdx2AHsgfi1Mng
0.447,0.625,10,-8.212,0,0.323,0.0351,0.000727,0.243,0.261,67.104,audio_features,300DUx4tdtCdGEUXR032jA,spotify:track:300DUx4tdtCdGEUXR032jA,https://api.spotify.com/v1/tracks/300DUx4tdtCdGEUXR032jA,https://api.spotify.com/v1/audio-analysis/300DUx4tdtCdGEUXR032jA,440013,4,spotify:track:300DUx4tdtCdGEUXR032jA
0.649,0.457,9,-12.904,1,0.0394,0.116,0.00562,0.414,0.795,90.071,audio_features,2l0KF9ywMxglacqb7Nb6H0,spotify:track:2l0KF9ywMxglacqb7Nb6H0,https://api.spotify.com/v1/tracks/2l0KF9ywMxglacqb7Nb6H0,https://api.spotify.com/v1/audio-analysis/2l0KF9ywMxglacqb7Nb6H0,217656,4,spotify:track:2l0KF9ywMxglacqb7Nb6H0
0.576,0.915,8,-5.729,0,0.0277,0.0124,0.946,0.0856,0.961,111.021,audio_features,2NaGl56lq71UMzDSI8jmJ3,spotify:track:2NaGl56lq71UMzDSI8jmJ3,https://api.spotify.com/v1/tracks/2NaGl56lq71UMzDSI8jmJ3,https://api.spotify.com/v1/audio-analysis/2NaGl56lq71UMzDSI8jmJ3,162333,4,spotify:track:2NaGl56lq71UMzDSI8jmJ3
