danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,uri
0.797,0.198,1,-15.008,1,0.405,0.535,0.000227,0.098,0.109,158.091,audio_features,3ppBq0h8fzp7jRffCg3CcV,spotify:track:3ppBq0h8fzp7jRffCg3CcV,https://api.spotify.com/v1/tracks/3ppBq0h8fzp7jRffCg3CcV,https://api.spotify.com/v1/audio-analysis/3ppBq0h8fzp7jRffCg3CcV,134400,4,spotify:track:3ppBq0h8fzp7jRffCg3CcV
0.581,0.21,8,-10.426,1,0.0321,0.768,0.0,0.369,0.452,80.099,audio_features,5GUYJTQap5F3RDQiCOJhrS,spotify:track:5GUYJTQap5F3RDQiCOJhrS,https://api.spotify.com/v1/tracks/5GUYJTQap5F3RDQiCOJhrS,https://api.spotify.com/v1/audio-analysis/5GUYJTQap5F3RDQiCOJhrS,249668,4,spotify:track:5GUYJTQap5F3RDQiCOJhrS
0.507,0.723,1,-8.164,1,0.0239,1.01e-05,0.0478,0.132,0.304,88.996,audio_features,5nMfIpT4sBRTjrNwhHKZxE,spotify:track:5nMfIpT4sBRTjrNwhHKZxE,https://api.spotify.com/v1/tracks/5nMfIpT4sBRTjrNwhHKZxE,https://api.spotify.com/v1/audio-analysis/5nMfIpT4sBRTjrNwhHKZxE,237301,4,spotify:track:5nMfIpT4sBRTjrNwhHKZxE
0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,audio_features,01TyFEZu6mHbffsVfxgrFn,spotify:track:01TyFEZu6mHbffsVfxgrFn,https://api.spotify.com/v1/tracks/01TyFEZu6mHbffsVfxgrFn,https://api.spotify.com/v1/audio-analysis/01TyFEZu6mHbffsVfxgrFn,215111,4,spotify:track:01TyFEZu6mHbffsVfxgrFn
0.728,0.38,2,-11.025,1,0.0946,0.383,0.000279,0.364,0.5,168.604,audio_features,6w9zex3lLDwzmvu12LDpJw,spotify:track:6w9zex3lLDwzmvu12LDpJw,https://api.spotify.com/v1/tracks/6w9zex3lLDwzmvu12LDpJw,https://api.spotify.com/v1/audio-analysis/6w9zex3lLDwzmvu12LDpJw,188173,4,spotify:track:6w9zex3lLDwzmvu12LDpJw
0.722,0.675,1,-5.61,0,0.0776,0.873,0.118,0.305,0.506,120.012,audio_features,6m6R6O2BOZDCNymhJ45spI,spotify:track:6m6R6O2BOZDCNymhJ45spI,https://api.spotify.com/v1/tracks/6m6R6O2BOZDCNymhJ45spI,https://api.spotify.com/v1/audio-analysis/6m6R6O2BOZDCNymhJ45spI,212000,4,spotify:track:6m6R6O2BOZDCNymhJ45spI
0.317,0.451,4,-10.171,1,0.0342,0.758,0.0611,0.235,0.262,122.614,audio_features,7b69SOb8qUph6fD1AX37Cd,spotify:track:7b69SOb8qUph6fD1AX37Cd,https://api.spotify.com/v1/tracks/7b69SOb8qUph6fD1AX37Cd,https://api.spotify.com/v1/audio-analysis/7b69SOb8qUph6fD1AX37Cd,189962,4,spotify:track:7b69SOb8qUph6fD1AX37Cd
0.556,0.438,6,-11.237,1,0.0561,0.0153,2.45e-06,0.0946,0.513,130.867,audio_features,6IZ9lMk5ByPP3dl6us4PsD,spotify:track:6IZ9lMk5ByPP3dl6us4PsD,https://api.spotify.com/v1/tracks/6IZ9lMk5ByPP3dl6us4PsD,https://api.spotify.com/v1/audio-analysis/6IZ9lMk5ByPP3dl6us4PsD,148558,4,spotify:track:6IZ9lMk5ByPP3dl6us4PsD
0.884,0.333,9,-9.753,0,0.0617,0.293,0.0205,0.103,0.587,118.065,audio_features,4cJOLN346rtOty3UPACsao,spotify:track:4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/tracks/4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/audio-analysis/4cJOLN346rtOty3UPACsao,209450,4,spotify:track:4cJOLN346rtOty3UPACsao
0.779,0.483,11,-10.231,1,0.229,0.393,0.439,0.0968,0.888,140.052,audio_features,6M334uLzgYayzpjZB0jP9N,spotify:track:6M334uLzgYayzpjZB0jP9N,https://api.spotify.com/v1/tracks/6M334uLzgYayzpjZB0jP9N,https://api.spotify.com/v1/audio-analysis/6M334uLzgYayzpjZB0jP9N,186857,4,spotify:track:6M334uLzgYayzpjZB0jP9N
