track_name,artists
Нищая,Валерий Агафонов
Our Children,Marin Mazzie;Peter Friedman
In the fire of desire,Ivan Kozlovsky
Favorite Places,Hunter Foster
"O, pozabud'!",Tamara Tsereteli
Podari mne platok,Lyudmila Zykina
Gracias A Pesar De Todo,Eladia Blazquez
Leave Me Alone,Addict.;SAMI
"A Sentimental Man - From ""Wicked"" Original Broadway Cast Recording/2003",Joel Grey
Battle Belongs - Acoustic,Phil Wickham
Я помню чудное мгновенье,Sergei Lemeshev
Спускалась ночная прохлада,Izabella Yurieva;Борис Кремотат;Михаил Минин
